arrival_rate,service_rate,num_servers,traffic_intensity,avg_wait_time,avg_queue_length,throughput,utilization
1.8109,4.8029,3,0.1257,0.0009,0.0011,1.832,0.1257
1.0482,1.1749,1,0.8922,4.8699,4.9846,1.034,0.8922
2.1672,2.9902,4,0.1812,0.0002,0.0,2.216,0.1812
2.4163,4.7751,2,0.253,0.0159,0.0375,2.454,0.253
2.7071,2.7984,1,0.9674,4.5452,12.2104,2.656,0.9674
1.0821,3.8215,2,0.1416,0.0054,0.0075,1.068,0.1416
2.5568,2.2718,5,0.2251,0.0012,0.0008,2.504,0.2251
3.6313,1.0465,4,0.8675,1.8862,6.7798,3.606,0.8675
1.7992,1.0902,2,0.8252,1.3259,2.2562,1.698,0.8252
1.3411,3.5522,5,0.0755,0.0,0.0,1.356,0.0755
3.745,4.4158,2,0.424,0.0593,0.2235,3.606,0.424
1.3411,3.4552,5,0.0776,0.0006,0.0014,1.414,0.0776
2.5638,2.5605,4,0.2503,0.0024,0.004,2.524,0.2503
2.0575,3.1331,5,0.1313,0.0,0.0,2.202,0.1313
0.8456,3.7102,2,0.114,0.004,0.007,0.852,0.114
2.0886,3.2606,4,0.1601,0.0001,0.0,2.148,0.1601
0.6307,1.8634,1,0.3385,0.3737,0.2453,0.634,0.3385
2.9656,1.2693,2,1.1682,36.5245,110.1829,2.552,0.9999
3.073,1.7325,3,0.5912,0.1566,0.4711,3.152,0.5912
0.6445,3.4451,2,0.0935,0.0026,0.0,0.584,0.0935
3.143,1.067,1,2.9456,161.984,489.5564,1.058,0.9999
0.8994,3.5888,2,0.1253,0.0019,0.0,0.848,0.1253
2.3106,3.9508,2,0.2924,0.0198,0.0379,2.324,0.2924
2.9133,3.9975,5,0.1458,0.0,0.0,2.94,0.1458
2.9108,2.8932,3,0.3354,0.015,0.0472,2.92,0.3354
1.3864,1.0555,3,0.4378,0.1072,0.1439,1.358,0.4378
3.3998,2.9503,4,0.2881,0.004,0.009,3.346,0.2881
1.5127,2.9656,1,0.5101,0.2641,0.3301,1.454,0.5101
0.6147,3.5377,5,0.0348,0.0,0.0,0.628,0.0348
2.8052,2.9118,4,0.2408,0.0012,0.0,2.79,0.2408
2.4844,4.5186,5,0.11,0.0,0.0,2.434,0.11
0.789,3.4465,2,0.1145,0.0005,0.0,0.772,0.1145
3.56,4.7968,1,0.7422,0.8482,3.0699,3.574,0.7422
1.8761,2.8621,2,0.3277,0.0296,0.0514,1.752,0.3277
2.9265,2.4406,1,1.1991,38.0611,112.1089,2.46,0.9999
1.7606,1.676,2,0.5252,0.3515,0.723,1.776,0.5252
3.0503,3.2672,4,0.2334,0.0014,0.0019,3.102,0.2334
3.2412,3.6612,3,0.2951,0.0111,0.0407,3.24,0.2951
1.0315,4.3677,4,0.059,0.0,0.0,1.014,0.059
2.7795,1.4805,4,0.4694,0.0461,0.1119,2.788,0.4694
0.6202,4.4113,5,0.0281,0.0,0.0,0.576,0.0281
3.5818,1.4307,3,0.8345,1.815,6.6785,3.594,0.8345
0.609,3.6724,1,0.1658,0.0672,0.0316,0.632,0.1658
3.0429,3.6264,1,0.8391,1.1229,3.2537,2.998,0.8391
2.8722,4.7937,1,0.5992,0.2596,0.8356,2.954,0.5992
3.2729,1.0893,4,0.7511,0.7633,2.7745,3.258,0.7511
2.2956,1.475,4,0.3891,0.0306,0.068,2.348,0.3891
1.7998,2.4035,3,0.2496,0.0049,0.0046,1.728,0.2496
0.6886,1.6118,3,0.1424,0.0,0.0,0.722,0.1424
1.8521,2.5249,3,0.2445,0.0105,0.0231,1.816,0.2445
2.6258,3.9942,1,0.6574,0.4413,1.1485,2.68,0.6574
2.6592,1.059,4,0.6278,0.143,0.3748,2.636,0.6278
2.6041,3.6732,1,0.7089,0.5805,1.4705,2.576,0.7089
3.0448,2.5276,4,0.3012,0.008,0.0195,3.078,0.3012
3.4251,1.2063,3,0.9464,2.3123,7.3829,3.364,0.9464
2.5323,1.8776,5,0.2697,0.0003,0.0,2.456,0.2697
